suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,0,L3,0.6259149699115069,3.789255502444941,3.789255502444941,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,0,L3,0.7611348755761629,1.9897110986163522,3.789255502444941,0.0,1.0,1.0,0.06760995283232801,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,0,L3,0.9551484873033068,0.29771800635808915,3.789255502444941,1.0,2.0,1.0,0.10974450579726665,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,0,L3,0.9551484873033068,0.29771800635808915,3.789255502444941,1.0,2.0,1.0,0.10974450579726665,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,1,L3,0.6087618788978222,4.106893596063754,4.106893596063754,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,1,L3,0.7151705979553852,2.5450416962099105,4.106893596063754,0.0,1.0,1.0,0.0532043595287815,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,1,L3,0.9616112042625966,0.2551083705488682,4.106893596063754,1.0,2.0,1.0,0.11761644178825814,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,1,L3,0.9616112042625966,0.2551083705488682,4.106893596063754,1.0,2.0,1.0,0.11761644178825814,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,2,L3,0.595309373370578,4.405171774453098,4.405171774453098,0.0,0.0,0.0,0.0,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Greedy,2,L3,0.6924401194740673,2.8782590842805544,4.405171774453098,0.0,1.0,1.0,0.04856537305174463,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,EIC-Beam,2,L3,0.962889181170727,0.24975066483194935,4.405171774453098,1.0,2.0,1.0,0.12252660260004966,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Oracle,2,L3,0.962889181170727,0.24975066483194935,4.405171774453098,1.0,2.0,1.0,0.12252660260004966,37
multiedit,hidden_variable_pair,multi_edit_variable_addition,False,Fixed-Frame,3,L3,0.586829112146203,4.464361329814794,4.464361329814794,0.0,0.0,0.0,0.0,37
