suite,benchmark,defect,control,method,seed,level,performance,loss,initial_loss,frame_recovered,reframe_cost,reframed,fde,candidates
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,0,L4,0.5271650805816681,1.6649898111697787,1.6649898111697787,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,0,L4,0.5279556355877729,1.6597170669888182,1.6649898111697787,0.0,1.0,1.0,0.0003952775030524047,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,0,L4,0.941257515964453,0.11584906241040195,1.6649898111697787,1.0,1.0,1.0,0.20704621769139242,7
symbolic,symbolic_generation,generated_variable,False,Oracle,0,L4,0.941257515964453,0.11584906241040195,1.6649898111697787,1.0,1.0,1.0,0.20704621769139242,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,1,L4,0.5186343771895373,3.505878860506209,3.505878860506209,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,1,L4,0.5186343771895373,3.505878860506209,3.505878860506209,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,1,L4,0.9605888559655336,0.1549760659907649,3.505878860506209,1.0,1.0,1.0,0.22097723938799813,7
symbolic,symbolic_generation,generated_variable,False,Oracle,1,L4,0.9605888559655336,0.1549760659907649,3.505878860506209,1.0,1.0,1.0,0.22097723938799813,7
symbolic,symbolic_generation,generated_variable,False,Fixed-Frame,2,L4,0.5128469020575946,1.983300340053675,1.983300340053675,0.0,0.0,0.0,0.0,7
symbolic,symbolic_generation,generated_variable,False,Raw-Feature-Search,2,L4,0.5129400282803237,1.9825611971456958,1.983300340053675,0.0,1.0,1.0,4.6563111364528176e-05,7
symbolic,symbolic_generation,generated_variable,False,EIC-Symbolic,2,L4,0.920878720333825,0.17939140007408366,1.983300340053675,1.0,1.0,1.0,0.20401590913811518,7
symbolic,symbolic_generation,generated_variable,False,Oracle,2,L4,0.920878720333825,0.17939140007408366,1.983300340053675,1.0,1.0,1.0,0.20401590913811518,7
