benchmark,method,performance,sd,frame_recovery
causal_relation,EIC-Greedy,0.9952504265021916,0.006478438467833382,1.0
causal_relation,EIC-NoCost,0.9952504265021916,0.006478438467833382,1.0
causal_relation,EIC-NoMargin,0.9952504265021916,0.006478438467833382,1.0
causal_relation,Fixed-Frame,0.3921069369790591,0.01196941363707045,0.0
causal_relation,Flat-Search,0.9952504265021916,0.006478438467833382,1.0
causal_relation,MDL-Flat,0.9952504265021916,0.006478438467833382,1.0
causal_relation,Oracle,0.9952504265021916,0.006478438467833382,1.0
causal_relation,Random-Edit,0.6688429400172389,0.30522886089212037,0.46
hidden_variable,EIC-Greedy,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,EIC-NoCost,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,EIC-NoMargin,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,Fixed-Frame,0.6067900830182418,0.027306877588956786,0.0
hidden_variable,Flat-Search,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,MDL-Flat,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,Oracle,0.9556641459062664,0.007958451849249345,1.0
hidden_variable,Random-Edit,0.6570210771030827,0.1218460653871812,0.14
missing_action,EIC-Greedy,0.9999363230114681,0.00012052727645803709,1.0
missing_action,EIC-NoCost,0.9999363230114681,0.00012052727645803709,1.0
missing_action,EIC-NoMargin,0.9999363230114681,0.00012052727645803709,1.0
missing_action,Fixed-Frame,0.2,0.0,0.0
missing_action,Flat-Search,0.9999363230114681,0.00012052727645803709,1.0
missing_action,MDL-Flat,0.9999363230114681,0.00012052727645803709,1.0
missing_action,Oracle,0.9999363230114681,0.00012052727645803709,1.0
missing_action,Random-Edit,0.5999687435001692,0.40402945343464597,0.5
ontology_split,EIC-Greedy,0.8690903378295993,0.015526699755084418,1.0
ontology_split,EIC-NoCost,0.8690903378295993,0.015526699755084418,1.0
ontology_split,EIC-NoMargin,0.8690903378295993,0.015526699755084418,1.0
ontology_split,Fixed-Frame,0.5009785652167527,0.006956273029911619,0.0
ontology_split,Flat-Search,0.8690903378295993,0.015526699755084418,1.0
ontology_split,MDL-Flat,0.8690903378295993,0.015526699755084418,1.0
ontology_split,Oracle,0.8690903378295993,0.015526699755084418,1.0
ontology_split,Random-Edit,0.6026132414427573,0.11281621897853485,0.12
wrong_objective,EIC-Greedy,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,EIC-NoCost,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,EIC-NoMargin,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,Fixed-Frame,0.1,0.0,0.0
wrong_objective,Flat-Search,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,MDL-Flat,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,Oracle,0.9998796982433317,0.0002021888125812079,1.0
wrong_objective,Random-Edit,0.5859261418956025,0.45304286316780235,0.54
