candidates,method,performance,frame_recovery
3,EIC-Greedy,0.9565559066615303,1.0
3,Fixed-Frame,0.6079109518905204,0.0
3,Flat-Search,0.9565559066615303,1.0
3,MDL-Flat,0.9565559066615303,1.0
3,Oracle,0.9565559066615303,1.0
3,Random-Edit,0.7550002661684765,0.425
6,EIC-Greedy,0.9560770384399765,1.0
6,Fixed-Frame,0.6096510237789602,0.0
6,Flat-Search,0.9560770384399765,1.0
6,MDL-Flat,0.9560770384399765,1.0
6,Oracle,0.9560770384399765,1.0
6,Random-Edit,0.687464823829533,0.225
11,EIC-Greedy,0.9551812990064524,1.0
11,Fixed-Frame,0.6050600667327781,0.0
11,Flat-Search,0.9551812990064524,1.0
11,MDL-Flat,0.9551812990064524,1.0
11,Oracle,0.9551812990064524,1.0
11,Random-Edit,0.6510239534542207,0.125
21,EIC-Greedy,0.95471899438925,1.0
21,Fixed-Frame,0.6023320289579275,0.0
21,Flat-Search,0.95471899438925,1.0
21,MDL-Flat,0.95471899438925,1.0
21,Oracle,0.95471899438925,1.0
21,Random-Edit,0.6457661392715428,0.125
51,EIC-Greedy,0.9556370042952835,1.0
51,Fixed-Frame,0.6101278344428722,0.0
51,Flat-Search,0.9556370042952835,1.0
51,MDL-Flat,0.9556370042952835,1.0
51,Oracle,0.9556370042952835,1.0
51,Random-Edit,0.6173531832335802,0.025
